tofpet_id,channel,thr_t1_bl,thr_t2_bl,thr_e_bl
0,0,54,60,46
0,1,55,60,51
0,2,57,60,53
0,3,56,60,46
0,4,48,60,45
0,5,53,60,46
0,6,55,60,55
0,7,56,60,48
0,8,54,60,46
0,9,58,60,48
0,10,47,60,47
0,11,57,60,47
0,12,57,60,56
0,13,57,60,48
0,14,50,60,55
0,15,51,60,47
0,16,48,60,46
0,17,48,60,52
0,18,56,60,57
0,19,51,60,47
0,20,54,60,57
0,21,53,60,52
0,22,55,60,47
0,23,54,60,47
0,24,54,60,52
0,25,56,60,47
0,26,54,60,57
0,27,57,60,47
0,28,56,60,52
0,29,58,60,47
0,30,55,60,46
0,31,52,60,53
0,32,59,60,47
0,33,55,60,53
0,34,57,60,54
0,35,54,60,57
0,36,55,60,57
0,37,58,60,46
0,38,52,60,47
0,39,57,60,46
0,40,56,60,47
0,41,58,60,52
0,42,53,60,53
0,43,52,60,51
0,44,54,60,46
0,45,58,60,56
0,46,51,60,47
0,47,47,60,54
0,48,55,60,58
0,49,52,60,54
0,50,57,60,46
0,51,52,60,55
0,52,49,60,46
0,53,54,60,46
0,54,57,60,53
0,55,58,60,45
0,56,55,60,55
0,57,52,60,55
0,58,54,60,55
0,59,56,60,45
0,60,53,60,54
0,61,38,55,47
0,62,57,60,47
0,63,54,60,57
1,0,51,60,56
1,1,52,60,45
1,2,51,60,46
1,3,54,60,60
1,4,56,60,59
1,5,54,60,45
1,6,53,60,58
1,7,51,60,55
1,8,53,60,47
1,9,54,60,60
1,10,58,59,59
1,11,52,60,57
1,12,58,60,45
1,13,57,59,60
1,14,51,60,56
1,15,53,60,55
1,16,53,60,44
1,17,55,60,55
1,18,52,60,58
1,19,56,60,45
1,20,52,60,46
1,21,56,60,56
1,22,54,60,45
1,23,51,60,46
1,24,54,60,58
1,25,55,60,45
1,26,51,60,54
1,27,51,60,45
1,28,47,60,46
1,29,57,60,56
1,30,57,60,45
1,31,54,60,56
1,32,53,60,47
1,33,57,60,59
1,34,54,60,45
1,35,58,60,57
1,36,52,60,46
1,37,52,60,46
1,38,55,60,45
1,39,53,60,47
1,40,53,60,57
1,41,52,60,58
1,42,52,60,56
1,43,49,60,60
1,44,53,60,45
1,45,55,60,55
1,46,52,60,46
1,47,51,60,46
1,48,51,60,57
1,49,48,60,55
1,50,53,60,46
1,51,53,60,57
1,52,55,60,46
1,53,55,60,55
1,54,52,60,46
1,55,58,60,47
1,56,51,60,57
1,57,49,60,58
1,58,58,59,55
1,59,51,60,46
1,60,57,60,57
1,61,53,60,46
1,62,58,60,47
1,63,55,60,57
